,version,year,km,price,pro,rating
204,R90 INTENS TYPE 2,2018,122,18770,1,16387.0
205,(2) R75 LIFE,2016,8561,12070,1,11264.0
206,Q90 INTENS CHARGE RAPIDE,2014,31476,11060,1,9625.0
207,Q90 LIFE CHARGE RAPIDE TYPE 2,2017,10694,11080,1,13619.0
208,R90 INTENS GAMME 2017,2016,4235,20440,1,12172.0
209,Q90 INTENS,2016,41584,10230,1,13094.0
210,Q90 LIFE,2015,30168,9640,1,9945.0
211,Q90 LIFE CHARGE RAPIDE,2016,16351,7340,1,11236.0
212,INTENS CHARGE RAPIDE,2016,69761,13000,1,
213,Q90 LIFE,2016,37472,10310,1,12321.0
214,Q90 LIFE,2013,38248,10150,1,8005.0
215,Q90 ZEN CHARGE RAPIDE,2015,112953,7520,1,12009.0
216,Q90 ZEN,2016,4414,10980,1,13174.0
217,Q90 LIFE,2016,40327,11140,1,12321.0
218,Q90 LIFE,2016,22224,11400,1,12321.0
219,INTENS CHARGE RAPIDE,2012,39708,8460,1,
220,Q90 LIFE CHARGE RAPIDE,2015,54485,9250,1,10646.0
221,LIFE 5P,2015,7923,13320,1,
222,Q90 LIFE CHARGE RAPIDE,2015,63027,9500,1,10646.0
223,LIFE,2017,11182,11970,1,
224,Q90 LIFE CHARGE RAPIDE,2013,44220,9580,1,8963.0
225,Q90 LIFE CHARGE RAPIDE,2016,16378,10630,1,11236.0
226,Q90 LIFE,2014,35526,10140,1,9090.0
227,Q90 LIFE CHARGE RAPIDE TYPE 2,2016,11270,12630,1,12771.0
228,INTENS CHARGE RAPIDE,2016,17367,12180,1,
229,Q90 LIFE,2014,35042,9220,1,9090.0
230,(2) Q90 ZEN CHARGE RAPIDE GAMME 2017,2016,24724,16370,1,12761.0
231,Q90 LIFE,2014,37519,10340,1,9090.0
232,(2) R90 STAR WARS,2017,114,22210,1,13588.0
233,Q90 LIFE CHARGE RAPIDE,2014,26962,11860,1,10066.0
234,Q90 LIFE CHARGE RAPIDE,2016,37988,10470,1,11236.0
235,(2) Q90 INTENS CHARGE RAPIDE GAMME 2017,2016,11500,16080,1,13577.0
236,Q90 LIFE,2016,19412,10870,1,12321.0
237,Q90 INTENS CHARGE RAPIDE,2013,45419,10040,1,9929.0
238,Q90 LIFE,2016,11811,11160,1,12321.0
239,Q90 ZEN CHARGE RAPIDE,2015,62461,8620,1,12009.0
240,Q90 ZEN,2016,16422,10580,1,13174.0
241,Q90 ZEN CHARGE RAPIDE,2013,31032,11160,1,9203.0
242,Q90 ZEN,2014,17874,11340,1,10809.0
243,Q90 INTENS,2015,13847,13180,1,11080.0
244,LIFE CHARGE RAPIDE GAMME 2017,2015,12455,13450,1,
245,(2) R90 INTENS,2017,6000,20380,1,13625.0
246,Q90 LIFE CHARGE RAPIDE,2015,45790,10180,1,10646.0
247,Q90 INTENS CHARGE RAPIDE,2014,20226,10460,1,9625.0
248,Q90 ZEN,2014,49365,8490,1,10809.0
249,LIFE CHARGE RAPIDE,2016,51421,9980,1,
250,Q90 LIFE CHARGE RAPIDE,2014,44835,12480,1,10066.0
251,INTENS 5P,2013,23917,11110,1,
252,Q90 LIFE,2016,22631,10530,1,12321.0
253,Q90 LIFE,2013,14620,10060,1,8005.0
254,Q90 LIFE,2014,15292,10120,1,9090.0
255,Q90 LIFE CHARGE RAPIDE,2016,32004,10540,1,11236.0
256,LIFE,2016,38398,10620,1,
257,Q90 INTENS,2016,9543,12300,1,13094.0
258,Q90 ZEN CHARGE RAPIDE TYPE 2,2014,16050,10680,1,10484.0
259,Q90 INTENS CHARGE RAPIDE,2015,42780,10460,1,10624.0
260,LIFE,2017,13530,12160,1,
261,Q90 INTENS,2016,7,15730,1,13094.0
262,Q90 ZEN CHARGE RAPIDE,2016,24430,11430,1,12174.0
263,INTENS,2014,42449,12900,1,
264,Q90 LIFE CHARGE RAPIDE,2014,62259,8380,1,10066.0
265,INTENS,2014,44425,10770,1,
266,(2) R90 ZEN,2019,123,26180,1,
267,INTENS,2015,58209,10280,1,
268,Q90 LIFE,2015,21264,12240,1,9945.0
269,Q90 ZEN CHARGE RAPIDE,2014,45625,9860,1,11036.0
270,ZEN R90 2018,2019,120,27700,1,
271,Q90 INTENS CHARGE RAPIDE,2016,18056,11710,1,13274.0
272,Q90 LIFE,2014,6351,10980,1,9090.0
273,R90 INTENS,2017,5382,21040,1,
274,R90 INTENS GAMME 2017,2017,6100,24270,1,14195.0
275,Q90 LIFE,2014,49601,13050,1,9090.0
276,Q90 INTENS CHARGE RAPIDE,2015,55333,8860,1,10624.0
277,LIFE CHARGE RAPIDE,2016,12913,10160,1,
278,INTENS CHARGE RAPIDE,2013,23941,12480,1,
279,INTENS R90,2017,121,28850,1,
280,R75 LIFE GAMME 2017,2019,4680,23880,1,
281,Q90 LIFE,2014,52140,9600,1,9090.0
282,(2) R75 LIFE,2017,10900,16880,1,13254.0
283,Q90 INTENS CHARGE RAPIDE,2013,32618,10600,1,9929.0
284,LIFE,2015,32700,10350,1,
285,(2) R90 ZEN,2019,5700,17770,1,
286,R90 ZEN,2019,6720,18250,1,
287,INTENS GAMME 2017,2018,12532,17880,1,
288,(2) R90 ZEN,2017,5900,22400,1,13399.0
289,LIFE CHARGE RAPIDE,2014,105423,8590,1,
290,Q90 LIFE CHARGE RAPIDE,2015,16197,10590,1,10646.0
291,LIFE,2014,67645,11120,1,
292,R75 LIFE,2017,92,24240,1,
